epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
58,2351.04,0.39215,0.26839,0.97027,0.01029,0.97468,0.96902,0.99073,0.95838,0.28373,0.18755,0.95098,0.00805,0.0008714,0.0008714,0.0008714
59,2392.67,0.39563,0.27215,0.97135,0.00945,0.96319,0.97802,0.99133,0.95737,0.28782,0.19372,0.95458,0.00845,0.0008516,0.0008516,0.0008516
60,2434.41,0.39257,0.26861,0.96821,0.01136,0.97051,0.9733,0.99128,0.95943,0.28787,0.18937,0.95264,0.0081,0.0008318,0.0008318,0.0008318
61,2478.07,0.39462,0.2681,0.96861,0.01002,0.97241,0.97254,0.99086,0.95779,0.28521,0.18652,0.95002,0.00959,0.000812,0.000812,0.000812
62,2516.21,0.39058,0.26578,0.96398,0.00983,0.96544,0.98011,0.99104,0.95581,0.28358,0.18986,0.94971,0.00794,0.0007922,0.0007922,0.0007922
63,2552.22,0.3847,0.26181,0.96308,0.00965,0.97172,0.97635,0.99082,0.95792,0.28686,0.19061,0.94468,0.01054,0.0007724,0.0007724,0.0007724
64,2588.31,0.3886,0.26637,0.96032,0.00938,0.96655,0.97483,0.99088,0.95844,0.28457,0.1871,0.94532,0.00903,0.0007526,0.0007526,0.0007526
65,2624.51,0.38395,0.2618,0.96987,0.01063,0.96613,0.97864,0.99057,0.95765,0.28375,0.18737,0.94756,0.00779,0.0007328,0.0007328,0.0007328
66,2660.61,0.38539,0.25903,0.96297,0.00941,0.97037,0.97425,0.99076,0.95884,0.28335,0.1876,0.94623,0.00734,0.000713,0.000713,0.000713
67,2697.08,0.39345,0.26049,0.96515,0.01094,0.96969,0.97601,0.9909,0.95754,0.28011,0.1859,0.9475,0.00765,0.0006932,0.0006932,0.0006932
68,2733.33,0.38595,0.26023,0.96649,0.00995,0.97192,0.97687,0.99114,0.95931,0.28092,0.18222,0.94621,0.00748,0.0006734,0.0006734,0.0006734
69,2771.84,0.38616,0.25743,0.96063,0.00966,0.96832,0.97935,0.99129,0.96052,0.28445,0.18628,0.9464,0.00888,0.0006536,0.0006536,0.0006536
70,2809.95,0.37955,0.25229,0.95753,0.00965,0.97197,0.97865,0.99116,0.96054,0.27931,0.18055,0.94253,0.00821,0.0006338,0.0006338,0.0006338
71,2847.54,0.38494,0.25763,0.96154,0.00991,0.97104,0.972,0.99072,0.95922,0.27783,0.18363,0.9484,0.00725,0.000614,0.000614,0.000614
72,2892.28,0.38335,0.25796,0.96152,0.00993,0.96417,0.97788,0.99084,0.96009,0.27987,0.17982,0.94766,0.00708,0.0005942,0.0005942,0.0005942
73,2939.29,0.37811,0.25037,0.95626,0.0093,0.96736,0.97635,0.99066,0.95988,0.28024,0.17828,0.95002,0.00845,0.0005744,0.0005744,0.0005744
74,2978.19,0.37484,0.25271,0.95343,0.00872,0.97039,0.97505,0.99088,0.9602,0.27823,0.18109,0.9463,0.007,0.0005546,0.0005546,0.0005546
75,3015.16,0.37678,0.25707,0.95858,0.0084,0.96634,0.97788,0.99102,0.96182,0.27632,0.17885,0.94887,0.00828,0.0005348,0.0005348,0.0005348
76,3053.46,0.37828,0.25514,0.95546,0.00916,0.97377,0.97254,0.99123,0.96009,0.27767,0.17954,0.94688,0.00858,0.000515,0.000515,0.000515
77,3089.58,0.37536,0.24953,0.95342,0.00929,0.97179,0.97407,0.99115,0.96209,0.27552,0.17797,0.944,0.00718,0.0004952,0.0004952,0.0004952
78,3125.73,0.37198,0.24774,0.95193,0.00887,0.9689,0.97437,0.99084,0.96162,0.27643,0.17872,0.94473,0.00671,0.0004754,0.0004754,0.0004754
79,3162.36,0.36855,0.24687,0.94423,0.00835,0.96616,0.98011,0.99077,0.9614,0.27655,0.17873,0.9448,0.00706,0.0004556,0.0004556,0.0004556
80,3198.15,0.36979,0.24716,0.95472,0.00896,0.9719,0.97627,0.99083,0.96142,0.27792,0.17978,0.94574,0.00839,0.0004358,0.0004358,0.0004358
81,3235.42,0.35894,0.24197,0.9426,0.00785,0.97006,0.97941,0.99124,0.96096,0.27597,0.1785,0.94029,0.00783,0.000416,0.000416,0.000416
82,3271.62,0.36475,0.23975,0.94658,0.00865,0.96588,0.97635,0.99084,0.95911,0.27674,0.1774,0.94728,0.00706,0.0003962,0.0003962,0.0003962
83,3311.44,0.36908,0.24523,0.94832,0.00851,0.97062,0.97407,0.99075,0.95964,0.27673,0.17692,0.94617,0.00729,0.0003764,0.0003764,0.0003764
84,3347.81,0.37118,0.24377,0.95134,0.00943,0.97187,0.97522,0.99106,0.96066,0.27376,0.17417,0.94674,0.00742,0.0003566,0.0003566,0.0003566
85,3388.57,0.3598,0.2428,0.94697,0.00798,0.9718,0.97256,0.99113,0.95999,0.27653,0.17254,0.94408,0.00822,0.0003368,0.0003368,0.0003368
86,3425.97,0.36155,0.23749,0.9452,0.00863,0.96469,0.97944,0.99093,0.95966,0.27469,0.17556,0.94451,0.0064,0.000317,0.000317,0.000317
87,3460.84,0.36171,0.24015,0.94047,0.00825,0.96753,0.97725,0.99114,0.96004,0.2758,0.17498,0.94803,0.00784,0.0002972,0.0002972,0.0002972
88,3496.57,0.35592,0.23484,0.94166,0.00768,0.97375,0.97254,0.99083,0.96236,0.27236,0.17205,0.94418,0.00678,0.0002774,0.0002774,0.0002774
89,3531.97,0.36016,0.24071,0.94275,0.0087,0.97009,0.97483,0.99094,0.96112,0.27385,0.17115,0.94336,0.00728,0.0002576,0.0002576,0.0002576
90,3567.32,0.36487,0.23741,0.94493,0.0085,0.97247,0.97635,0.99099,0.96047,0.27327,0.17084,0.94416,0.00706,0.0002378,0.0002378,0.0002378
91,3621.91,0.28011,0.17755,0.92662,0.00629,0.97476,0.97254,0.99107,0.96106,0.27281,0.17133,0.94424,0.00662,0.000218,0.000218,0.000218
92,3657.28,0.27981,0.17719,0.93019,0.00686,0.97589,0.97025,0.99107,0.96164,0.27204,0.17146,0.94281,0.00686,0.0001982,0.0001982,0.0001982
93,3692.68,0.27773,0.17611,0.92233,0.00604,0.96688,0.97987,0.99109,0.96172,0.27181,0.16981,0.94521,0.00639,0.0001784,0.0001784,0.0001784
94,3730.36,0.27292,0.17398,0.9209,0.00589,0.97921,0.97003,0.99119,0.9619,0.2718,0.17028,0.94534,0.00674,0.0001586,0.0001586,0.0001586
95,3766.36,0.27095,0.16996,0.91841,0.00584,0.9807,0.969,0.99124,0.96313,0.27026,0.16865,0.94488,0.00623,0.0001388,0.0001388,0.0001388
96,3801.79,0.2728,0.16998,0.9237,0.0063,0.97665,0.97025,0.99126,0.96194,0.27108,0.16867,0.9451,0.00663,0.000119,0.000119,0.000119
97,3837.47,0.26875,0.16958,0.91589,0.00628,0.97694,0.96928,0.99107,0.96235,0.27023,0.16865,0.94365,0.00609,9.92e-05,9.92e-05,9.92e-05
98,3872.69,0.26988,0.16894,0.9162,0.006,0.97476,0.96873,0.99105,0.96281,0.27058,0.16859,0.9445,0.00605,7.94e-05,7.94e-05,7.94e-05
99,3908.08,0.27042,0.16921,0.91751,0.00587,0.9762,0.97004,0.99105,0.96298,0.27007,0.16756,0.94324,0.00651,5.96e-05,5.96e-05,5.96e-05
100,3945.78,0.26694,0.16604,0.91666,0.00602,0.97919,0.96922,0.99114,0.96296,0.26997,0.16776,0.94283,0.0068,3.98e-05,3.98e-05,3.98e-05
